date,Ontario_VIF,Quebec_VIF,NL_VIF,NY_AQI
2012-01-01,74,11,1.0,37.38071065989848
2012-02-01,224,18,3.0,38.17686170212766
2012-03-01,495,122,2.0,39.47648514851485
2012-04-01,1043,190,29.0,41.61186650185414
2012-05-01,2618,707,32.0,44.22488038277512
2012-06-01,1033,1847,6716.0,49.10767326732673
2012-07-01,8555,514,23.0,52.768307322929175
2012-08-01,1329,243,9.0,52.83535108958838
2012-09-01,1083,197,24.0,35.10493046776232
2012-10-01,513,133,8.0,30.807361963190186
2012-11-01,611,115,6.0,36.24654088050315
2012-12-01,197,12,3.0,35.20669056152927
2013-01-01,173,5,5.0,40.38423028785982
2013-02-01,131,8,1.0,37.86023054755043
2013-03-01,308,52,3.0,36.7124842370744
2013-04-01,653,216,15.0,41.60923845193509
2013-05-01,619,199,5.0,43.71582733812949
2013-06-01,796,21603,578.0,42.10864197530864
2013-07-01,3751,66164,2605.0,41.5
2013-08-01,979,292,7.0,40.53012048192771
2013-09-01,921,232,9.0,32.847772277227726
2013-10-01,784,135,3.0,32.327710843373495
2013-11-01,461,51,3.0,31.189808917197453
2013-12-01,126,10,3.0,38.60174781523096
2014-01-01,68,17,1.0,39.81366459627329
2014-02-01,92,9,4.0,43.14917127071824
2014-03-01,251,16,3.0,39.42053789731052
2014-04-01,494,51,4.0,41.49363867684478
2014-05-01,667,710,8.0,41.08722358722359
2014-06-01,1301,1435,296.0,38.32575757575758
2014-07-01,1042,321,31.0,41.17718446601942
2014-08-01,1179,188,894.0,36.49820359281437
2014-09-01,989,191,26.0,34.02354399008674
2014-10-01,648,87,3.0,28.642256902761105
2014-11-01,250,39,6.0,32.536989795918366
2014-12-01,213,15,6.0,32.311414392059554
2015-01-01,98,1,4.0,39.11817026683609
2015-02-01,67,3,3.0,41.36023054755043
2015-03-01,372,17,16.0,40.34663341645885
2015-04-01,677,93,12.0,38.29554140127389
2015-05-01,979,122,16.0,47.410071942446045
2015-06-01,2019,264,160.0,36.22524752475248
2015-07-01,1391,181,7.0,43.41127098321343
2015-08-01,1075,242,19.0,39.59975961538461
2015-09-01,960,157,17.0,42.39678615574784
2015-10-01,688,45,15.0,28.051682692307693
2015-11-01,848,65,5.0,32.13466666666667
2015-12-01,117,4,3.0,34.5961038961039
2016-01-01,160,4,6.0,38.6864064602961
2016-02-01,204,9,5.0,35.2409972299169
2016-03-01,386,17,5.0,38.013664596273294
2016-04-01,679,107,4.0,40.23115577889448
2016-05-01,3256,152,13.0,45.57932692307692
2016-06-01,1086,171,7.0,44.69678217821782
2016-07-01,886,1079,434.0,44.44993968636912
2016-08-01,1251,245,15.0,39.03489771359808
2016-09-01,879,144,12.0,33.89473684210526
2016-10-01,1505,92,6.0,29.482424242424244
2016-11-01,648,63,4.0,32.88333333333333
2016-12-01,204,9,5.0,33.340673575129536
2017-01-01,149,4,8.0,36.0726392251816
2017-02-01,264,15,2.0,38.69628647214854
2017-03-01,318,16,1.0,38.51856148491879
2017-04-01,401,40,8.0,39.16328963051252
2017-05-01,617,118,23.0,36.614583333333336
2017-06-01,682,694,6.0,41.94627594627595
2017-07-01,6136,302,19.0,39.0973348783314
2017-08-01,4892,178,14.0,37.15144230769231
2017-09-01,1667,207,10.0,33.47425149700599
2017-10-01,772,143,17.0,31.457943925233646
2017-11-01,294,20,8.0,29.6476821192053
2017-12-01,145,9,2.0,34.92446043165467
2018-01-01,194,4,3.0,38.41676646706587
2018-02-01,249,13,4.0,36.3425925925926
2018-03-01,444,17,8.0,36.60606060606061
2018-04-01,687,32,7.0,39.00119904076739
2018-05-01,991,192,7.0,47.487719298245615
2018-06-01,3506,1857,9.0,38.0217654171705
2018-07-01,11772,1867,31.0,45.08089097303634
2018-08-01,4232,241,13.0,40.1550925925926
2018-09-01,838,143,15.0,27.45203836930456
2018-10-01,514,36,12.0,26.343422584400464
2018-11-01,102,27,5.0,28.53020134228188
2018-12-01,186,14,8.0,33.91497005988024
2019-01-01,89,3,5.0,36.16666666666666
2019-02-01,84,5,9.0,38.41078838174274
2019-03-01,309,12,5.0,41.59001161440186
2019-04-01,391,54,5.0,38.475271411338966
2019-05-01,723,80,20.0,34.76157407407408
2019-06-01,2204,194,16.0,38.05131264916468
2019-07-01,18817,608,23.0,42.34027777777778
2019-08-01,1312,204,16.0,34.88734030197445
2019-09-01,897,134,19.0,32.385441527446304
2019-10-01,798,74,8.0,28.78125
2019-11-01,203,25,9.0,30.11706102117061
2019-12-01,254,16,1.0,28.700135685210316
2020-01-01,62,3,2.0,32.30299251870324
2020-02-01,158,8,6.0,36.274534161490685
2020-03-01,363,41,4.0,35.67782909930716
2020-04-01,435,79,2.0,36.635054021608646
2020-05-01,637,144,1.0,34.85086705202312
2020-06-01,1460,1954,3.0,38.776427703523694
2020-07-01,1047,259,38.0,40.23897911832947
2020-08-01,2186,281,66.0,36.14102564102564
2020-09-01,506,121,5.0,30.83532219570406
2020-10-01,376,90,2.0,27.651869158878505
2020-11-01,915,104,2.0,33.11165048543689
2020-12-01,113,15,0.0,32.5953488372093
2021-01-01,138,6,0.0,34.76709154113557
2021-02-01,177,9,0.0,37.833333333333336
2021-03-01,783,56,0.0,37.68585131894484
2021-04-01,457,116,1.0,2.5
