date,VIF_count,Region
2012-01-01,74,Ontario
2012-02-01,224,Ontario
2012-03-01,495,Ontario
2012-04-01,1043,Ontario
2012-05-01,2618,Ontario
2012-06-01,1033,Ontario
2012-07-01,8555,Ontario
2012-08-01,1329,Ontario
2012-09-01,1083,Ontario
2012-10-01,513,Ontario
2012-11-01,611,Ontario
2012-12-01,197,Ontario
2013-01-01,173,Ontario
2013-02-01,131,Ontario
2013-03-01,308,Ontario
2013-04-01,653,Ontario
2013-05-01,619,Ontario
2013-06-01,796,Ontario
2013-07-01,3751,Ontario
2013-08-01,979,Ontario
2013-09-01,921,Ontario
2013-10-01,784,Ontario
2013-11-01,461,Ontario
2013-12-01,126,Ontario
2014-01-01,68,Ontario
2014-02-01,92,Ontario
2014-03-01,251,Ontario
2014-04-01,494,Ontario
2014-05-01,667,Ontario
2014-06-01,1301,Ontario
2014-07-01,1042,Ontario
2014-08-01,1179,Ontario
2014-09-01,989,Ontario
2014-10-01,648,Ontario
2014-11-01,250,Ontario
2014-12-01,213,Ontario
2015-01-01,98,Ontario
2015-02-01,67,Ontario
2015-03-01,372,Ontario
2015-04-01,677,Ontario
2015-05-01,979,Ontario
2015-06-01,2019,Ontario
2015-07-01,1391,Ontario
2015-08-01,1075,Ontario
2015-09-01,960,Ontario
2015-10-01,688,Ontario
2015-11-01,848,Ontario
2015-12-01,117,Ontario
2016-01-01,160,Ontario
2016-02-01,204,Ontario
2016-03-01,386,Ontario
2016-04-01,679,Ontario
2016-05-01,3256,Ontario
2016-06-01,1086,Ontario
2016-07-01,886,Ontario
2016-08-01,1251,Ontario
2016-09-01,879,Ontario
2016-10-01,1505,Ontario
2016-11-01,648,Ontario
2016-12-01,204,Ontario
2017-01-01,149,Ontario
2017-02-01,264,Ontario
2017-03-01,318,Ontario
2017-04-01,401,Ontario
2017-05-01,617,Ontario
2017-06-01,682,Ontario
2017-07-01,6136,Ontario
2017-08-01,4892,Ontario
2017-09-01,1667,Ontario
2017-10-01,772,Ontario
2017-11-01,294,Ontario
2017-12-01,145,Ontario
2018-01-01,194,Ontario
2018-02-01,249,Ontario
2018-03-01,444,Ontario
2018-04-01,687,Ontario
2018-05-01,991,Ontario
2018-06-01,3506,Ontario
2018-07-01,11772,Ontario
2018-08-01,4232,Ontario
2018-09-01,838,Ontario
2018-10-01,514,Ontario
2018-11-01,102,Ontario
2018-12-01,186,Ontario
2019-01-01,89,Ontario
2019-02-01,84,Ontario
2019-03-01,309,Ontario
2019-04-01,391,Ontario
2019-05-01,723,Ontario
2019-06-01,2204,Ontario
2019-07-01,18817,Ontario
2019-08-01,1312,Ontario
2019-09-01,897,Ontario
2019-10-01,798,Ontario
2019-11-01,203,Ontario
2019-12-01,254,Ontario
2020-01-01,62,Ontario
2020-02-01,158,Ontario
2020-03-01,363,Ontario
2020-04-01,435,Ontario
2020-05-01,637,Ontario
2020-06-01,1460,Ontario
2020-07-01,1047,Ontario
2020-08-01,2186,Ontario
2020-09-01,506,Ontario
2020-10-01,376,Ontario
2020-11-01,915,Ontario
2020-12-01,113,Ontario
2021-01-01,138,Ontario
2021-02-01,177,Ontario
2021-03-01,783,Ontario
2021-04-01,457,Ontario
2021-05-01,1932,Ontario
2021-06-01,6864,Ontario
2021-07-01,64971,Ontario
2021-08-01,8256,Ontario
2021-09-01,720,Ontario
2021-10-01,469,Ontario
2021-11-01,560,Ontario
2021-12-01,153,Ontario
