date,VIF_count,Region
2012-01-01,11,Quebec
2012-02-01,18,Quebec
2012-03-01,122,Quebec
2012-04-01,190,Quebec
2012-05-01,707,Quebec
2012-06-01,1847,Quebec
2012-07-01,514,Quebec
2012-08-01,243,Quebec
2012-09-01,197,Quebec
2012-10-01,133,Quebec
2012-11-01,115,Quebec
2012-12-01,12,Quebec
2013-01-01,5,Quebec
2013-02-01,8,Quebec
2013-03-01,52,Quebec
2013-04-01,216,Quebec
2013-05-01,199,Quebec
2013-06-01,21603,Quebec
2013-07-01,66164,Quebec
2013-08-01,292,Quebec
2013-09-01,232,Quebec
2013-10-01,135,Quebec
2013-11-01,51,Quebec
2013-12-01,10,Quebec
2014-01-01,17,Quebec
2014-02-01,9,Quebec
2014-03-01,16,Quebec
2014-04-01,51,Quebec
2014-05-01,710,Quebec
2014-06-01,1435,Quebec
2014-07-01,321,Quebec
2014-08-01,188,Quebec
2014-09-01,191,Quebec
2014-10-01,87,Quebec
2014-11-01,39,Quebec
2014-12-01,15,Quebec
2015-01-01,1,Quebec
2015-02-01,3,Quebec
2015-03-01,17,Quebec
2015-04-01,93,Quebec
2015-05-01,122,Quebec
2015-06-01,264,Quebec
2015-07-01,181,Quebec
2015-08-01,242,Quebec
2015-09-01,157,Quebec
2015-10-01,45,Quebec
2015-11-01,65,Quebec
2015-12-01,4,Quebec
2016-01-01,4,Quebec
2016-02-01,9,Quebec
2016-03-01,17,Quebec
2016-04-01,107,Quebec
2016-05-01,152,Quebec
2016-06-01,171,Quebec
2016-07-01,1079,Quebec
2016-08-01,245,Quebec
2016-09-01,144,Quebec
2016-10-01,92,Quebec
2016-11-01,63,Quebec
2016-12-01,9,Quebec
2017-01-01,4,Quebec
2017-02-01,15,Quebec
2017-03-01,16,Quebec
2017-04-01,40,Quebec
2017-05-01,118,Quebec
2017-06-01,694,Quebec
2017-07-01,302,Quebec
2017-08-01,178,Quebec
2017-09-01,207,Quebec
2017-10-01,143,Quebec
2017-11-01,20,Quebec
2017-12-01,9,Quebec
2018-01-01,4,Quebec
2018-02-01,13,Quebec
2018-03-01,17,Quebec
2018-04-01,32,Quebec
2018-05-01,192,Quebec
2018-06-01,1857,Quebec
2018-07-01,1867,Quebec
2018-08-01,241,Quebec
2018-09-01,143,Quebec
2018-10-01,36,Quebec
2018-11-01,27,Quebec
2018-12-01,14,Quebec
2019-01-01,3,Quebec
2019-02-01,5,Quebec
2019-03-01,12,Quebec
2019-04-01,54,Quebec
2019-05-01,80,Quebec
2019-06-01,194,Quebec
2019-07-01,608,Quebec
2019-08-01,204,Quebec
2019-09-01,134,Quebec
2019-10-01,74,Quebec
2019-11-01,25,Quebec
2019-12-01,16,Quebec
2020-01-01,3,Quebec
2020-02-01,8,Quebec
2020-03-01,41,Quebec
2020-04-01,79,Quebec
2020-05-01,144,Quebec
2020-06-01,1954,Quebec
2020-07-01,259,Quebec
2020-08-01,281,Quebec
2020-09-01,121,Quebec
2020-10-01,90,Quebec
2020-11-01,104,Quebec
2020-12-01,15,Quebec
2021-01-01,6,Quebec
2021-02-01,9,Quebec
2021-03-01,56,Quebec
2021-04-01,116,Quebec
2021-05-01,195,Quebec
2021-06-01,407,Quebec
2021-07-01,2134,Quebec
2021-08-01,230,Quebec
2021-09-01,112,Quebec
2021-10-01,92,Quebec
2021-11-01,66,Quebec
2021-12-01,26,Quebec
